Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A467444,FOSTER,12/01/2020,*SAMSON,CAT,12 WEEKS,KITTE,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A467444&location=MONT,
A469469,OWNER SUR,10/31/2020,CLOUD,OTHER,4 YEARS,MED,GRAY / WHITE,RABBIT SH,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469469&location=MONT,
A467176,FOSTER,12/01/2020,*SMOOCH,CAT,12 WEEKS,KITTE,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A467176&location=MONT,
A464255,OWNER SUR,06/13/2020,TURTY,OTHER,2 YEARS,MED,BROWN / ORANGE,TURTLE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A464255&location=MONT,
A468884,OWNER SUR,10/15/2020,NALA,DOG,8 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468884&location=MONT,
A470009,OWNER SUR,11/15/2020,*TOM,OTHER,6 MONTHS,MED,GREEN,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470009&location=MONT,
A470231,OWNER SUR,11/22/2020,PHOENIX,CAT,1 YEAR 6 MONTHS,MED,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470231&location=MONT,
A468034,OWNER SUR,09/21/2020,PEANUT BRITTLE,CAT,9 MONTHS,KITTE,DIL CALICO / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468034&location=MONT,
A468585,CONFISCATE,10/07/2020,UNGUS,CAT,9 YEARS,LARGE,BLACK,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468585&location=MONT,
A467673,RETURN,11/09/2020,*MARILYN MEOWROE,CAT,7 YEARS,SMALL,WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A467673&location=MONT,
A467487,OWNER SUR,09/06/2020,TUTTI,OTHER,NO AGE,SMALL,GREEN / BLACK,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A467487&location=MONT,
A469532,OWNER SUR,11/02/2020,REMY,CAT,8 MONTHS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469532&location=MONT,
A470008,OWNER SUR,11/15/2020,*THEO,OTHER,6 MONTHS,LARGE,GREEN,TURTLE / REDEARED SLIDER,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470008&location=MONT,
A469934,OWNER SUR,11/13/2020,SHADOW,CAT,1 YEAR 7 MONTHS,MED,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469934&location=MONT,
A466471,OWNER SUR,11/30/2020,*JIMMY,CAT,5 MONTHS,KITTE,ORANGE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A466471&location=MONT,
A469472,OWNER SUR,10/31/2020,TITO,BIRD,7 MONTHS,LARGE,WHITE,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469472&location=MONT,
A470102,OWNER SUR,11/18/2020,BRITTANY SPEARS,OTHER,4 YEARS,LARGE,GREEN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470102&location=MONT,
A468468,OWNER SUR,10/03/2020,BLOO,OTHER,1 YEAR 2 MONTHS,SMALL,BROWN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468468&location=MONT,
A347731,CONFISCATE,08/17/2020,COSTNER,CAT,12 YEARS,MED,BLK SMOKE,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A347731&location=MONT,
A469336,OWNER SUR,10/27/2020,BOOTH,CAT,8 YEARS,SMALL,GRAY TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469336&location=MONT,
A470202,OWNER SUR,11/21/2020,TAMMY,OTHER,9 YEARS,MED,GREEN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470202&location=MONT,
A331491,FOSTER,09/15/2020,BREWSTER,DOG,12 YEARS,LARGE,WHITE / TAN,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A331491&location=MONT,
A460015,FOSTER,11/28/2020,CHICO,DOG,5 YEARS,LARGE,TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460015&location=MONT,
A465274,FOSTER,12/03/2020,*FLEETFOOT,CAT,7 MONTHS,KITTE,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A465274&location=MONT,
A468033,OWNER SUR,09/21/2020,JET,CAT,9 MONTHS,KITTE,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468033&location=MONT,
A469633,OWNER SUR,11/06/2020,PRINCESS,CAT,1 YEAR 1 MONTH,MED,ORANGE TAB / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469633&location=MONT,
A469091,OWNER SUR,10/20/2020,*TYLER,OTHER,NO AGE,MED,TRI/BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469091&location=MONT,
A467445,FOSTER,12/01/2020,*GOLIATH,CAT,12 WEEKS,KITTE,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A467445&location=MONT,
A469226,OWNER SUR,10/23/2020,REMY,CAT,7 YEARS,LARGE,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469226&location=MONT,
A331415,FOSTER,09/15/2020,PETUNIA,DOG,11 YEARS,MED,BRINDLE / WHITE,AM PIT BULL TER / BOXER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A331415&location=MONT,
A470161,OWNER SUR,11/20/2020,*GABRIEL,CAT,1 YEAR 9 MONTHS,MED,GRAY / WHITE,DOMESTIC LH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470161&location=MONT,
A469273,OWNER SUR,10/25/2020,COPPER,OTHER,2 YEARS,SMALL,GREEN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469273&location=MONT,
A468467,OWNER SUR,10/03/2020,SAMMY,OTHER,2 YEARS,SMALL,BROWN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468467&location=MONT,
A467482,OWNER SUR,09/20/2020,LUX,CAT,2 YEARS,SMALL,TORTIE / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A467482&location=MONT,
A464757,FOSTER,07/15/2020,*SNOW WHITE,CAT,2 YEARS,MED,BL TABBY / GRAY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A464757&location=MONT,
A470041,STRAY,11/16/2020,*BERNADETTE,BIRD,1 YEAR 1 MONTH,SMALL,BLUE / WHITE,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470041&location=MONT,"15600 OURSLER RD, BURTONSVILLE MD 20866"
A470268,STRAY,11/23/2020,*THANKS,CAT,14 WEEKS,KITTE,TORTIE / BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470268&location=MONT,"0 LIVINGSTON ST, SILVER SPRING MD 20902"
A468403,OWNER SUR,10/01/2020,LEO,DOG,3 YEARS,MED,BLACK,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468403&location=MONT,
A470047,OWNER SUR,11/16/2020,ZELDA,DOG,1 YEAR 2 MONTHS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470047&location=MONT,
A469092,OWNER SUR,10/20/2020,*CHANCE,OTHER,NO AGE,MED,TRI/WHITE / BLACK,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469092&location=MONT,
A470542,OWNER SUR,12/03/2020,KOKO,OTHER,2 YEARS,MED,BLACK / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470542&location=MONT,
A468491,OWNER SUR,10/04/2020,NINJA WHISKERS,CAT,6 YEARS,SMALL,WHITE / GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468491&location=MONT,
A460425,OWNER SUR,02/08/2020,*HOKEY POKEY,OTHER,NO AGE,TOY,BROWN / YELLOW,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460425&location=MONT,
A469688,OWNER SUR,11/08/2020,JUDITH,CAT,6 YEARS,LARGE,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469688&location=MONT,
A465493,OWNER SUR,11/28/2020,PANTHER,CAT,4 YEARS,SMALL,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A465493&location=MONT,
A470393,OWNER SUR,11/28/2020,DRACO,CAT,1 YEAR 1 MONTH,MED,BLACK,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470393&location=MONT,
A468023,FOSTER,11/24/2020,*PEACE,CAT,14 WEEKS,KITTE,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468023&location=MONT,
A460422,OWNER SUR,02/08/2020,*HARDHAT,OTHER,NO AGE,MED,BROWN / YELLOW,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A460422&location=MONT,
A468916,STRAY,10/16/2020,*RICHARD,BIRD,NO AGE,MED,BLACK / BLACK,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468916&location=MONT,"19000 RED ROBIN TER, GERMANTOWN MD 20874"
A470192,OWNER SUR,11/21/2020,*BANDIT,CAT,2 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470192&location=MONT,
A469485,OWNER SUR,11/01/2020,CINNAMON,OTHER,3 YEARS,SMALL,SABLE,RABBIT SH,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469485&location=MONT,
A469656,STRAY,11/06/2020,ROSS,OTHER,NO AGE,MED,BROWN,SNAKE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469656&location=MONT,2000 GLEN ROSS RD SILVER SPRING MD 20910
A465774,STRAY,07/25/2020,*JULIE,CAT,10 MONTHS,SMALL,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A465774&location=MONT,"3300 CAMDEN ST, SILVER SPRING MD 20902"
A470157,OWNER SUR,11/20/2020,BOWSER,DOG,5 YEARS,LARGE,BROWN / WHITE,BOXER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470157&location=MONT,
A468429,STRAY,10/02/2020,*PEANUT,DOG,3 YEARS,LARGE,BROWN / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468429&location=MONT,"17200 REDLAND RD, DERWOOD MD 20855"
A468914,STRAY,10/16/2020,*BARRY,BIRD,NO AGE,MED,WHITE / BLACK,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468914&location=MONT,"19000 RED ROBIN TER, GERMANTOWN MD 20874"
A468913,STRAY,10/16/2020,*JOEY,BIRD,NO AGE,MED,WHITE / BLACK,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468913&location=MONT,"19000 RED ROBIN TER, GERMANTOWN MD 20874"
A469334,OWNER SUR,10/27/2020,LUCKY,CAT,8 YEARS,MED,GRAY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469334&location=MONT,
A469896,OWNER SUR,11/12/2020,LYDIA,CAT,3 YEARS,MED,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469896&location=MONT,
A469969,OWNER SUR,11/14/2020,*CLARA,CAT,7 MONTHS,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469969&location=MONT,
A469335,OWNER SUR,10/27/2020,ASIA,CAT,16 YEARS,MED,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469335&location=MONT,
A469944,FOSTER,11/22/2020,*SERENITY,CAT,11 MONTHS,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A469944&location=MONT,
A470272,STRAY,11/23/2020,*ELBY,CAT,8 YEARS,MED,GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A470272&location=MONT,"12200 BUSHEY DR, SILVER SPRING MD 20902"
