impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo
K20-132954,A626924,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A626924,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Douglas,Cat,6 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby,11/28/2020 12:00:00 AM,Received on,22400 243RD PL SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A626924,Image Copyright HLP Inc. 2020,"Received on: 2020-11-28<p/> Found Near: 22400 243RD PL SE, MAPLE VALLEY WA 98038<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
K20-132425,A625226,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2196814,In Public Home,,Cat,Under 1 year,Female,American Shorthair,Black,10/31/2020 12:00:00 AM,Date Found,1300 SW 147TH ST,BURIEN,WA,98166,BURIEN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2196814,Image Copyright HLP Inc. 2020,Description: Small black kitty Found by Seahurst Park in Burien<p/>Age: Under 1 year<p/>Location Found: 1325 SW 147th Street<p/>Notes: <p/>Found Date: 10/31/2020<p/>Finder Address:  Burien WA 98166
K20-133026,A627156,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A627156,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,3 YEARS,Female,Australian Cattle Dog / Mix,Brown / Silver,12/01/2020 12:00:00 AM,Received on,2000 S 142ND ST,SEATAC,WA,98168,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A627156,Image Copyright HLP Inc. 2020,"Received on: 2020-12-01<p/> Found Near: 2000 S 142ND ST, SEATAC WA 98168<p/> Description: Brown / Silver Female Australian Cattle Dog / Mix Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
K20-132094,A623890,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2191948,In Public Home,,Dog,Over 1 year,Male,Chihuahua - Smooth Coated,Unknown,10/25/2020 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2191948,Image Copyright HLP Inc. 2020,"Description: Super sweet and friendly boy. Found him without collar but based on what the fur sits at, had one on before<p/>Age: Over 1 year<p/>Location Found: No Location Given<p/>Notes: <p/>Found Date: 10/25/2020<p/>Finder Address:  Puyallup WA 98375"
K20-132867,A626686,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2203939,In Public Home,,Cat,Over 1 year,Unknown,American Shorthair,Black / White,11/21/2020 12:00:00 AM,Date Found,23300 SE 27TH PL,SAMMAMISH,WA,98075,SAMMAMISH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2203939,Image Copyright HLP Inc. 2020,"Description: This large, black and white cat is super friendly and has a zebra striped collar with a bell. We got them checked by the vet, and they have no microchip.<p/>Age: Over 1 year<p/>Location Found: 23314 SE 27th Pl.<p/>Notes: <p/>Found Date: 11/21/2020<p/>Finder Address:  Sammamish WA 98075"
K20-132941,A626882,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Unknown,Not Provided,Brown / White,11/27/2020 12:00:00 AM,Received on,3400 S 176TH ST,SEATAC,WA,98188,SEATAC,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-11-27<p/> Found Near: 3400 S 176TH ST, SEATAC WA 98188<p/> Description: Brown / White Unknown Not Provided Dog<p/> Age: NO AGE<p/>"
K20-132929,A626838,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2204813,In Public Home,,Cat,Unknown,Unknown,Russian Blue,Unknown,11/25/2020 12:00:00 AM,Date Found,12500 NE 156TH ST,WOODINVILLE,WA,98072,WOODINVILLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2204813,Image Copyright HLP Inc. 2020,Description: <p/>Age: Unknown<p/>Location Found: 12511 NE 156th St<p/>Notes: <p/>Found Date: 11/25/2020<p/>Finder Address:  Woodinville WA 98072
K20-132904,A626801,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Louie,Cat,7 WEEKS,Male,Domestic Shorthair,Gray Tabby / White,11/25/2020 12:00:00 AM,Received on,12500 SE 201ST PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A626801,Image Copyright HLP Inc. 2020,"Received on: 2020-11-25<p/> Found Near: 12500 SE 201ST PL, KENT WA 98031<p/> Description: Gray Tabby / White Male Domestic Shorthair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
K20-132956,A626927,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2205771,In Public Home,,Cat,Under 1 year,Female,American Shorthair,Brown / Black,11/26/2020 12:00:00 AM,Date Found,18000 SE 272ND ST,KENT,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2205771,Image Copyright HLP Inc. 2020,"Description: No abstract colors or markings, is uniform in color save for a small white patch under her chin. When we Found her she had no collar.<p/>Age: Under 1 year<p/>Location Found: 18025 SE 272nd ST<p/>Notes: <p/>Found Date: 11/26/2020<p/>Finder Address:  Covington WA 98042"
K20-132400,A625104,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2196446,In Public Home,,Dog,,Male,Labrador Retriever,Black,11/05/2020 12:00:00 AM,Date Found,"6754 LAKE WASHINGTON BLVD. NE, C24",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2196446,Image Copyright HLP Inc. 2020,11/06/20 13:10 Received voicemail from 425-785-3889 stating this was their dog. Called back and left a message with the finder's first name and phone number. AJ
