,Animal ID,Name,Found Location,Intake Type,Animal Type,Breed,date,full_date,year,GeoLoc,Latitude,Longitude,color
0,A818975,,Braker Lane And Metric in Travis (TX),Stray,Cat,Domestic Shorthair,06-18,2020-06-18,2020,,,,red
1,A821389,*Dim Sum,7800 San Felipe Boulevard in Austin (TX),Stray,Cat,Domestic Shorthair,08-10,2020-08-10,2020,"7800, San Felipe Boulevard, Barrington Oaks, Jollyville, Austin, Williamson County, Texas, 78729, United States of America",30.437883,-97.76766738513514,red
2,A812244,,Travis (TX),Owner Surrender,Dog,Labrador Retriever,01-18,2020-01-18,2020,"Travis County, Texas, United States of America",30.2878569,-97.7561392,blue
3,A813757,,Colonial Park And Weidemar in Austin (TX),Stray,Dog,German Shepherd/Australian Cattle Dog,02-18,2020-02-18,2020,,,,blue
4,A816185,,1830 W Rundberg in Austin (TX),Stray,Cat,Domestic Shorthair,04-09,2020-04-09,2020,,,,red
5,A818382,Cookie,4434 Frontier Trail in Austin (TX),Owner Surrender,Dog,Boxer,06-08,2020-06-08,2020,"4434, Frontier Trail, Westgate, Austin, Travis County, Texas, 78745, United States of America",30.231409499999998,-97.79576352760756,blue
6,A808587,Rocket,Austin (TX),Owner Surrender,Dog,Staffordshire/English Bulldog,03-19,2020-03-19,2020,"Austin, Travis County, Texas, United States of America",30.2711286,-97.7436995,blue
7,A812121,,1712 Morrow Street in Austin (TX),Stray,Cat,Domestic Longhair,01-16,2020-01-16,2020,"1712, Morrow Street, Crestview, Austin, Travis County, Texas, 78757, United States of America",30.349027,-97.72621791666666,red
8,A812020,Delgado,Outside Jurisdiction,Owner Surrender,Dog,Australian Shepherd/Chow Chow,01-28,2020-01-28,2020,,,,blue
9,A815427,Ash,Austin (TX),Owner Surrender,Cat,Domestic Shorthair Mix,03-15,2020-03-15,2020,"Austin, Travis County, Texas, United States of America",30.2711286,-97.7436995,red
10,A821941,,4434 Frontier Trail in Austin (TX),Stray,Cat,Domestic Shorthair,08-23,2020-08-23,2020,"4434, Frontier Trail, Westgate, Austin, Travis County, Texas, 78745, United States of America",30.231409499999998,-97.79576352760756,red
11,A816347,*Beau,2250 Ridgemont Drive in Austin (TX),Public Assist,Dog,Bloodhound,04-15,2020-04-15,2020,"Ridgemont Drive, Windsor Park, Austin, Travis County, Texas, 78723, United States of America",30.311239,-97.697959,blue
12,A824733,,6008 Merriwood Drive in Austin (TX),Stray,Cat,Domestic Shorthair,10-19,2020-10-19,2020,"6008, Merriwood Drive, Sweetbriar, Bluff Springs, Austin, Travis County, Texas, 78745, United States of America",30.201717000000002,-97.78043294805195,red
13,A812834,Echo,Austin (TX),Owner Surrender,Dog,Siberian Husky,01-29,2020-01-29,2020,"Austin, Travis County, Texas, United States of America",30.2711286,-97.7436995,blue
14,A816806,,9604 Bock Road in Mustang Ridge (TX),Stray,Dog,Labrador Retriever Mix,04-28,2020-04-28,2020,"9604, Bock Road, Mustang Ridge, Travis County, Texas, 78610, United States of America",30.065989,-97.674047,blue
15,A823878,*Solange,1126 Emmitt Run in Austin (TX),Stray,Cat,Domestic Shorthair,10-01,2020-10-01,2020,"1126, Emmitt Run, Johnston Terrace, Austin, Travis County, Texas, 78721, United States of America",30.259167,-97.6857731025641,red
16,A816311,,6503 Bridgewater Cv in Austin (TX),Wildlife,Other,Bat,04-13,2020-04-13,2020,"6503, Bridgewater Cove, Las Cimas, Sprinkle, Austin, Travis County, Texas, 78723, United States of America",30.305217,-97.66414859748276,yellow
17,A824113,*Artemis,Travis (TX),Owner Surrender,Cat,Domestic Shorthair,10-06,2020-10-06,2020,"Travis County, Texas, United States of America",30.2878569,-97.7561392,red
18,A819446,*Charlie,2300 Doris Drive in Austin (TX),Stray,Cat,Domestic Shorthair,06-29,2020-06-29,2020,"2300, Doris Drive, Wooten, Austin, Travis County, Texas, 78757, United States of America",30.3644505,-97.72783319999999,red
